iter	Logloss
0	0.350313198
1	0.1742340148
2	0.09167981728
3	0.04994748617
4	0.0289529236
5	0.01793998098
6	0.01200331884
7	0.008564080429
8	0.006547855639
9	0.00531738078
10	0.004510033363
11	0.003913855254
12	0.003544029363
13	0.003250736915
14	0.003002793021
15	0.002836870602
16	0.002711849533
17	0.002627140716
18	0.002545340341
19	0.002480832019
20	0.002425264033
21	0.002377957506
22	0.002336357002
23	0.00230802732
24	0.002285765249
25	0.002262020013
26	0.002240828651
27	0.002218542345
28	0.002180469072
29	0.002153905883
30	0.002136659115
31	0.002106272495
32	0.002067576133
33	0.002044295428
34	0.002022381436
35	0.001991949229
36	0.001978373499
37	0.001961437923
38	0.001947813221
39	0.00193129456
40	0.001907048084
41	0.001890786578
42	0.001875955279
43	0.001851661948
44	0.001832754645
45	0.001816236934
46	0.001805212167
47	0.00179525658
48	0.00178876577
49	0.001776809735
50	0.001756060968
51	0.001746001128
52	0.001737191508
53	0.001725603655
54	0.001716436319
55	0.001707763167
56	0.001698923022
57	0.001691472234
58	0.001682545268
59	0.00167584336
60	0.001668034077
61	0.001660695052
62	0.001652665927
63	0.001647106961
64	0.001640579117
65	0.001632058525
66	0.001625826841
67	0.001617479337
68	0.001609474298
69	0.001597742602
70	0.00158971341
71	0.001585133024
72	0.001576484671
73	0.001566870836
74	0.001559642609
75	0.001549280383
76	0.001541808687
77	0.001533598959
78	0.001527259459
79	0.001522967865
80	0.001517925706
81	0.001509273132
82	0.001502579157
83	0.001497310103
84	0.00149280047
85	0.001475600996
86	0.001460928214
87	0.001453453529
88	0.001448600086
89	0.001442977711
90	0.001437102535
91	0.001431812636
92	0.001421355646
93	0.001416699872
94	0.001412835573
95	0.001400746132
96	0.001393351318
97	0.001390808537
98	0.001387534527
99	0.00138465268
100	0.001377999592
101	0.001372550488
102	0.001370567528
103	0.001362715496
104	0.001360010971
105	0.001357439892
106	0.001351023755
107	0.001346591458
108	0.001344332301
109	0.001337362831
110	0.001327210517
111	0.001324898156
112	0.001312475142
113	0.001305833228
114	0.001297370999
115	0.001291257669
116	0.001286852036
117	0.001276649217
118	0.001271452575
119	0.001269334548
120	0.001266201026
121	0.001264941595
122	0.001262455136
123	0.001259247077
124	0.001251873737
125	0.001245545147
126	0.001243072867
127	0.001239980489
128	0.00122898109
129	0.001225365022
130	0.001220407371
131	0.001217671301
132	0.001214524651
133	0.001209585701
134	0.001206863245
135	0.001199824048
136	0.001196916949
137	0.001191654897
138	0.001190404368
139	0.001188864409
140	0.001187774178
141	0.001184256853
142	0.001182836384
143	0.001178771114
144	0.00117735592
145	0.001168709042
146	0.001164647928
147	0.001163520824
148	0.001160524934
149	0.00115482134
150	0.001150337716
151	0.001143600701
152	0.001138145185
153	0.001133881522
154	0.001132591763
155	0.001129800251
156	0.001126601764
157	0.001121786424
158	0.001118983632
159	0.001118102475
160	0.001115527794
161	0.001100271581
162	0.001091489555
163	0.001089171352
164	0.001080476743
165	0.001078237608
166	0.001074385014
167	0.001073099226
168	0.001071387468
